Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
31064,50184.0,21341.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AB5F409249C679B9FEDD6BB2ECA2ECA8?id=1968DAV/THR1836-1843:1,2.0,8.63,-12,-33923,HCN,O(.),,H(.),NCO,,454,2.0
31065,50187.0,21341.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AB5F409249C679B9FEDD6BB2ECA2ECA8?id=1985PER/MEL639:5,2.0,1.43,-12,-31346,HCN,O(.),,H(.),NCO,,300,2.0
31066,50188.0,21342.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6FA25648527F25780E1AC001382B8C9E?id=1991TSA/HER609-663:15,2.0,8.88,-13,-32011,HCN,O(.),,CO,NH,,500,2.0
31067,50189.0,21342.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6FA25648527F25780E1AC001382B8C9E?id=1985SZE/HAN647:2,2.0,3.65,-11,-64354,HCN,O(.),,CO,NH,,1800,2.0
31068,50190.0,21342.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6FA25648527F25780E1AC001382B8C9E?id=1984SZE/HAN647:3,2.0,3.65,-11,-64354,HCN,O(.),,CO,NH,,1800,2.0
31069,50191.0,21342.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6FA25648527F25780E1AC001382B8C9E?id=1985PER/MEL639:4,2.0,8.88,-13,-31761,HCN,O(.),,CO,NH,,300,2.0
31070,50192.0,21343.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0ACD45DEC8B461B16AADFD5B477BEE1C?id=1991TSA/HER609-663:14,2.0,1.43,-12,-31595,HCN,O(.),,CN,(.)OH,,500,2.0
31071,50193.0,21343.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0ACD45DEC8B461B16AADFD5B477BEE1C?id=1985SZE/HAN647:1,2.0,8.3,-11,-91459,HCN,O(.),,CN,(.)OH,,2000,2.0
31072,50194.0,21343.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0ACD45DEC8B461B16AADFD5B477BEE1C?id=1984SZE/HAN647:2,2.0,8.3,-11,-91459,HCN,O(.),,CN,(.)OH,,2000,2.0
31073,50195.0,21343.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0ACD45DEC8B461B16AADFD5B477BEE1C?id=1982ROT/LOH593:3,2.0,7.21,-11,-61527,HCN,O(.),,CN,(.)OH,,1500,2.0
