Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
9153,12108.0,5151.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=911DCC65519F9760200FA53CE1E18846?id=2012KRI/HEL1-9:1,3.0,1.58,-32,-8913,['[Hg]Cl'],,,[None],[None],,298,3.0
9158,12113.0,5155.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CFFA9937D115FCC439B306811D5933BB?id=2004CAV/FAS705-720:6,1.0,8.7,13,-120081,[None],,,[None],,,500,1.0
9159,12114.0,5156.0,"http://kinetics.nist.gov/kinetics/Detail;jsessionid=0FFE0C235CED4CCBB1B171592E8102C3?id=2012GON/LI,2811-2820:29",1.0,4.9,13,-189304,[None],,,[None],,,300,1.0
9161,12116.0,5158.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AF9125DBD1C0E2494184C4FFF22B6E81?id=2004CAV/FAS705-720:9,1.0,1.7,13,-150624,[None],,,['C1=CC=CCC1'],,,500,1.0
9165,12125.0,5163.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C291F0E29CDF3509D105950F3A37D6EA?id=2003SWI/CAT91-101:43,1.0,6.48,-8,-362528,[None],,,[None],[None],,500,1.0
9166,12126.0,5163.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C291F0E29CDF3509D105950F3A37D6EA?id=2003SWI/CAT91-101:44,1.0,1.7,15,-455533,[None],,,[None],[None],,500,1.0
9291,12311.0,5222.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD6ABE8B7BA1486427B3D3C7FC6B69D7?id=2000VIN/HEL6406-6410:1,2.0,6,-10,-200,[None],[None],,[None],[None],,303,2.0
9292,12312.0,5222.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FD6ABE8B7BA1486427B3D3C7FC6B69D7?id=1982KAS/MAN630-631:25,2.0,3.74,-10,,[None],[None],,[None],[None],,990,2.0
9303,12323.0,5226.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=250FBD89DA87857481A363B71D78940B?id=1982KAS/MAN630-631:23,2.0,3.85,-11,,[None],[None],,[None],[None],,925,2.0
9319,12365.0,5257.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=38A714555EDA1B816059C2D34D0162EA?id=2005DON/BAU7732-7741:3,3.0,5.17,-33,,[None],[None],[None],[None],[None],,"296
 
K",3.0
9327,12383.0,5272.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CD348D629A0FA98E0F1F3D578F5FAD61?id=1978WIE/YUE1225:8,2.0,6.09,-11,,[None],[None],,[None],[None],,"295
 
K",2.0
9341,12406.0,5290.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=782B21D8A3FF41CC7E24BAE16FCFDD12?id=2003COS/BEL9132-9136:1,2.0,3.9,-10,-2952,[None],[None],,[None],[None],,305,2.0
