ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
240,3.21,15,-169948,https://cactus.nci.nih.gov/chemical/structure/CBr3OBr/smiles,,,[None],[None],
248,5.83,1,-16463,https://cactus.nci.nih.gov/chemical/structure/BrCH%3DCH/smiles,,,C2H2,[None],
249,3.89,-13,-193977,https://cactus.nci.nih.gov/chemical/structure/CH3Ga/smiles,,,(.)CH3,[None],
251,2.19,12,-153600,https://cactus.nci.nih.gov/chemical/structure/t-C4H9C%28N%28O%29%3DNOCH3/smiles,,,['C=C(C)C'],CO,NH3
253,2.05,16,-154799,['[N+](=O)([O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]'],,,https://cactus.nci.nih.gov/chemical/structure/cyc-N%28%28.%29%29CH2C%28NO2%292CH2/smiles,NO2,
254,2.57,16,-160004,['[N+](=O)([O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]'],,,https://cactus.nci.nih.gov/chemical/structure/cyc-C%28%28.%29%29%28NO2%29CH2N%28NO2%29CH2/smiles,NO2,
255,1.85,13,-187026,['[N+](=O)([O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]'],,,https://cactus.nci.nih.gov/chemical/structure/cyc-CH2N%3DCHC%28NO2%292/smiles,HNO2,
256,2.73,13,-179351,['[N+](=O)([O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]'],,,https://cactus.nci.nih.gov/chemical/structure/cyc-CH2N%28NO2%29CH%3DC%28NO2%29/smiles,HNO2,
258,2.15,17,-89796,https://cactus.nci.nih.gov/chemical/structure/%28%28.%29%29Si%28O%29H/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiO/smiles,H(.),
259,1.58,16,-220334,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSiH3/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiH/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,
260,3.02,14,-201210,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSiH3/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiH/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,
268,2,12,-119728,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSiH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2Si%28H%29%3A/smiles,,
269,3.16,13,-169615,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSiH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSi%28CH3%29/smiles,,
