Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
9.77,10,-151323,CH2=CHCH2NHSC(CH3)3,,,Other Products,CH3CH=CH2,
,,,HC((.))=C=C=S,,,((.))C#C-CH=S,,
,,,HC((.))=C=C=S,,,H(.),CCCS,
,,,HC((.))=C=C=S,,,(.)C2H,CS,
1.1,16,-93122,CH3OCH2OONO2,,,NO2,CH3OCH2OO(.),
2.6,-1,,ClCH=CHOO(.),,,HC(O)Cl,HCO,
2.1,-1,,ClCH=CHOO(.),,,(CHO)2,(.)Cl,
1.0,16,-161301,F2NC(NO2)3,,,Products,,
1.58,16,-180424,FC(NO2)2NF2,,,Products,,
1.79,-12,,CF3CFOO(.)CF3,,,Products,,
2.0,3,,(CF3)2CFO((.)),,,Products,,
2.4,-4,,(CH3)2CHCH2C(O)OONO2,,,(CH3)2CHCH2C(O)OO(.),NO2,
1.8,-4,,n-C4H9C(O)OONO2,,,CH3CH2CH2CH2C(O)OO(.),NO2,
3.06,-2,-167952,CH3CH2Te,,,(.)C2H5,Te,
8.0,14,-167952,CH3CH2Te,,,(.)C2H5,Te,
3.16,14,-149660,Manganese(1,,,Mn,"Cyclopentadienyl, methyl-",
3.07,20,-191233,"2lambda2, 4lambda2, 6lambda2, 8lambda2-Cyclotetrasiloxane",,,SiO,"Cyclotrisiloxane-2,4,6-triylidene-",
6.87,13,-189911,"2,6-dimethylphenyl",,,3-Methylbenzyl,,
2.61,-12,,CF3CFClOO((.)),,,Products,,
2.0,-12,,CF3CF2OO(.),,,O2,CF3OCF2((.)),CF3OCF2((.))
2.01,-12,,CF3CF2OO(.),,,O2,CF3OCF2((.)),CF3OCF2((.))
2.09,-12,,CF3CF2OO(.),,,Products,,
1.1,8,,CF3CCl2O((.)),,,CF3COCl,(.)Cl,
6.7,6,,CF3CCl2O((.)),,,COCl2,(.)CF3,
4.6,5,,CF3CFClO(.),,,CF3COF,(.)Cl,
5.1,4,,CF3CFClO(.),,,COClF,(.)CF3,
1.3,-2,,CF3CFHOONO2,,,NO2,CF3CFHO2(.),
1.66,4,,"Methyl, ethoxy(1-methylethoxy)phenyl-",,,Ethyl benzoate,2-C3H7,
1.2,1,,"Methyl, ethoxy(1-methylethoxy)phenyl-",,,Ethyl benzoate,2-C3H7,
1.38,3,,"Methyl, methoxy(1-methylethoxy)phenyl-",,,Benzoic acid 1-methylethyl ester,(.)CH3,
4.0,1,,"Methyl, methoxy(1-methylethoxy)phenyl-",,,Benzoic acid 1-methylethyl ester,(.)CH3,
2.13,2,,"Methyl, ethoxymethoxyphenyl-",,,Methylbenzoate,(.)C2H5,
,,,"Methyl, ethoxymethoxyphenyl-",,,Methylbenzoate,(.)C2H5,
2.0,-12,-4870,Acylperoxy radical,,,Products,,
1.45,-11,,Acylperoxy radical,,,(CH3)3CC(O)O,(CH3)3CC(O)O,O2
1.44,-11,,(CH3)2CHC(O)O2,,,O2,(CH3)2CHC(O)O(.),(CH3)2CHC(O)O(.)
8.34,12,-187076,"Benzyl alcohol, m-fluoro-α-methyl-, acetate",,,CH3C(O)OH,"Benzene, 1-ethenyl-3-fluoro-",
,,,Oxacyclobutan-3-yl,,,Products,,
3.01,-12,,CHF2CF2OO(.),,,Other Products,O2,
3.0,-12,,CHF2CF2OO(.),,,Products,,
2.71,-12,,CHF2CF2OO(.),,,Products,,
3.75,-12,,CHF2OO,,,Other Products,O2,
5.0,-12,,CHF2OO,,,Products,,
,,,CH3CH(O.)CH2CH2CH3,,,((.))CH2CH(OH)CH2CH2CH3,,
7.6,24,-29350,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,
2.4,12,-38911,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,
3.3,5,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,
3.1,3,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,
3.1,3,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,
,,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,
,,,CH3CH(O.)CH2CH2CH3,,,CH3C((.))(OH)CH2CH2CH3,,
4.67,1,,CH3CH(O.)CH2CH2CH3,,,CH3CH2CH2CHO,(.)CH3,
4.67,1,,CH3CH(O.)CH2CH2CH3,,,CH3CH2CH2CHO,(.)CH3,
2.2,4,,CH3CH(O.)CH2CH2CH3,,,CH3CHO,1-C3H7,
2.6,4,,CH3CH(O.)CH2CH2CH3,,,CH3CHO,1-C3H7,
3.3,19,,CH3CH(O.)CH2CH2CH3,,,Products,,
9.2,10,-30500,CH3CH(O.)CH2CH2CH3,,,(.)CH2CH2CH2CH(OH)CH3,,
,,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)C((.))HCH2CH3,,
,,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2C((.))HCH3,,
1.0,10,,Fe(CO)3(η2-CH3CH=CH2),,,HFe(3)CO(η3-CH2CH=CH2),,
3.7,-12,2245,CF3C(O)OO((.)),,,O2,CF3C(O)O,CF3C(O)O
7.4,11,-39244,CF3CFHO,,,HFCO,(.)CF3,
1.01,-7,-33906,CF3CFHO,,,HFCO,(.)CF3,
1.1,-6,-46370,CF3CFHO,,,HFCO,(.)CF3,
1.02,1,,CF3CFHO,,,HFCO,(.)CF3,
5.9,13,-43734,CF3CFHO,,,HFCO,(.)CF3,
3.82,13,-53329,CF3CFHO,,,HFCO,(.)CF3,
9.58,12,-51217,CF3CFHO,,,HFCO,(.)CF3,
3.99,12,-50045,CF3CFHO,,,HFCO,(.)CF3,
3.52,12,-49879,CF3CFHO,,,HFCO,(.)CF3,
7.61,11,-48149,CF3CFHO,,,HFCO,(.)CF3,
3.3,5,,CF3CFHO,,,HFCO,(.)CF3,
1.8,4,,CF3CFHO,,,HFCO,(.)CF3,
3.7,7,-18292,CF3CFHO,,,HFCO,(.)CF3,
4.8,13,-47698,CF3CFHO,,,HFCO,(.)CF3,
8.59,4,,CF3CFHO,,,HFCO,(.)CF3,
1.0,3,,CF3CFHO,,,HFCO,(.)CF3,
4.98,-12,-48070,HN(NO2)2-NH3,,,NH3,HN(NO2)2,
1.5,14,-112245,Cu(hfac)(VTMS),,,CH2=CHSi(CH3)3,Cu(hfac),
4.8,18,-139683,Cu(hfac)(VTMS),,,CH2=CHSi(CH3)3,Cu(hfac),
2.9,16,-139683,Cu(hfac)(VTMS),,,CH2=CHSi(CH3)3,Cu(hfac),
,,,CH2ClOOH,,,(.)OH,CH2ClO,
,,,CH2ClOOH,,,HC(O)Cl,H2O,
1.95,10,-147998,CH2=C=CHCH(CH3)CH=CH2,,,CH≡CCH2CH2CH=CHCH3-(Z)-,,
2.51,10,-140515,CH2=C=CHCH(CH3)CH=CH2,,,"CH≡CCH2CH2CH=CHCH3(E),-",,
3.16,10,-149660,CH2=C=CHCH(CH3)CH=CH2,,,Other Products,"Cyclopentene, 2-methyl-4-methylene-",
6.31,10,-144672,"Disulfide 1,1-dimethylethyl 4-fluorophenyl",,,Isobutene,"Benzenesulfenothioic acid, 4-fluoro-",
2.88,-13,-184581,"Disulfide 1,1-dimethylethyl 4-nitrophenyl",,,Isobutene,"Benzenesulfenothioic acid, 4-nitro-",
,,,Cu(hfac)(butyne),,,2-butyne,Cu(hfac),
1.43,-5,,"Cyclopropane-1,2-d2, 3-[2,2-dimethyl1-(methylene-d2)propyl], [1α,2α,3β(Z)]-",,,"Cyclopentene-3,4,5-d3, 1-(1,1-dimethylethyl)-(3α,4β,5α)-",,
,,,Cu(hfac)(PMe3),,,(CH3)3P,Cu(hfac),
3.63,15,-440157,HOPO2,,,(.)OH,PO2,
2.57,18,-382836,HOPO2,,,(.)OH,PO2,
9.16,-26,-506264,HOPO2,,,(.)OH,PO2,
2.01,18,-468608,HOPO2,,,(.)OH,PO2,
3.0,-3,,CF3ONO2,,,NO2,CF3O,
,,,Nitrosoketene,,,Oxazetone,,
,,,Nitrosoketene,,,CO,HC-N=O,
4.0,-12,,CF2ClCH2OO(.),,,Products,,
4.0,-12,,CF2ClCH2OO(.),,,Products,,
4.1,-12,,CF2ClCH2OO(.),,,Products,,
4.13,-12,,CF2ClCH2OO(.),,,Products,,
4.0,-12,,CFCl2CH2OO((.)),,,Products,,
4.0,-12,,CFCl2CH2OO((.)),,,Products,,
4.1,-12,,CFCl2CH2OO((.)),,,Products,,
4.35,-12,,CFCl2CH2OO((.)),,,Products,,
5.0,-12,,CF3CFHO2(.),,,Products,,
3.16,-12,,CF3CFHO2(.),,,O2,CF3CFHO,CF3CFHO
5.99,-12,,CF3CFHO2(.),,,O2,CF3CFHO,CF3CFHO
7.8,-13,5030,CF3CFHO2(.),,,Other Products,O2,
7.8,-13,5030,CF3CFHO2(.),,,Products,,
7.8,-13,5030,CF3CFHO2(.),,,Products,,
3.5,-13,,CF3CFHO2(.),,,CF3CFHOH,CF3COF,O2
1.0,-12,,CF3CFHO2(.),,,CF3CFHOH,CF3COF,O2
3.6,-12,,CF3CCl2OO((.)),,,O2,CF3CCl2O((.)),CF3CCl2O((.))
3.0,-12,,CF3CCl2OO((.)),,,Products,,
3.01,-12,,CF3CCl2OO((.)),,,Products,,
3.3,-12,,CF3CCl2OO((.)),,,Products,,
2.95,10,-27188,"Cyclopent-2-enyl,2-(1-methyleneethenyl)-",,,"Bicyclo[3.2.0]hept-1-ene,7-methylene",,
,,,(CH3)3SiSi(CH2CH3)2Si(CH3)3,,,Products,,
3.06,12,-190401,CH3C(O)OCH2CH2C[Si(CH3)3]3,,,CH2=CHC[Si(CH3)3]3,CH3C(O)OH,
1.0,13,-100605,CH2ClCHClO2,,,O2,CH2ClCHCl(.),
3.0,12,-38662,"Naphthalenyl, 1, ? -dihydro-1-(nitrooxy)-",,,Naphthalene,NO3,
5.0,5,,"Naphthalenyl, 1, ? -dihydro-1-(nitrooxy)-",,,Naphthalene,NO3,
1.6,6,,"Naphthalenyl, 1, ? -dihydro-1-(nitrooxy)-",,,Naphthalene,NO3,
4.0,4,-29932,CH3CH(OH)CH(CH3)OO((.)),,,O2,HOCH(CH3)CH(CH3(O(.),HOCH(CH3)CH(CH3(O(.)
7.69,-15,11058,CH3CH(OH)CH(CH3)OO((.)),,,Products,,
8.4,-13,,CH3CH(OH)CH(CH3)OO((.)),,,Products,,
5.89,13,-188739,"Cyclopropane,1-ethenyl-1-ethoxy-",,,"Cyclopentane, 1-ethoxy-",,
6.4,11,-74894,"2,5-Hexadienyl",,,3-Cyclopenten-1-ylmethyl,,
1.1,12,-94140,"2,5-Hexadienyl",,,2-Cyclohexenyl,,
6.3,12,-172799,"2,5-Hexadienyl",,,"1,3,5-Hexatriene",H(.),
3.36,17,-195393,"2,5-Hexadienyl",,,"1,3-Butadiene",C2H3,
3.8,-4,,"2,5-Hexadienyl",,,(.)CH2-cyc-CHCH=CHCH2CH2,,
3.39,12,-65310,CH3SO3,,,(.)CH3,SO3,
9.17,12,-156462,CH3SO3,,,CH3O(.),SO2,
3.29,12,-65115,CH3SO3,,,Products,,
1.72,13,-208128,CH3SO3,,,HOSO,CH2O,
1.05,12,-255803,CH3SO3,,,(.)CH=SO2,H2O,
3.32,12,-376222,CH3SO3,,,(.)CH2SO3,H(.),
1.0,-5,,"5,5'-Bicyclopentadienyl",,,Naphthalene,H2,
3.71,15,-326013,"5,5'-Bicyclopentadienyl",,,9H-fulvalenyl,H(.),
5.95,15,-327461,"5,5'-Bicyclopentadienyl",,,9H-fulvalenyl,H(.),
4.41,12,-292093,"5,5'-Bicyclopentadienyl",,,9H-naphthalenyl,H(.),
5.31,12,-292717,"5,5'-Bicyclopentadienyl",,,9H-naphthalenyl,H(.),
2.0,18,-215400,CH3In,,,(.)CH3,In(CH3)2,
2.0,9,-139200,CH3In,,,(.)CH3,In,
8.13,10,-162132,CH3In,,,(.)CH3,In,
3.38,8,-55009,In(CH3)2,,,InCH3(singlet),(.)CH3,
6.73,9,-55009,In(CH3)2,,,InCH3(singlet),(.)CH3,
1.03,14,-244595,In(CH3)2,,,InCH3(triplet),(.)CH3,
2.06,15,-244595,In(CH3)2,,,InCH3(triplet),(.)CH3,
2.29,10,-144672,CH≡CCH2CH2CH=CHCH3-(Z)-,,,CH2=C=CHCH(CH3)CH=CH2,,
5.25,10,-144672,"CH≡CCH2CH2CH=CHCH3(E),-",,,CH2=C=CHCH(CH3)CH=CH2,,
4.61,11,-109914,2-((.))C6H4C2H3,,,2-Phenylethenyl,,
1.02,12,-153818,"3-Furancarboxylic acid 1,1-dimethylethyl ester",,,Isobutene,3-Furancarboxylic acid,
1.02,12,-152986,"3-Thiophenecarboxylic acid 1,1-dimethylethyl ester",,,3-Thiophenecarboxylic acid,Isobutene,
5.75,13,-194559,3-Furancarboxylic acid 1-methylethyl ester,,,CH3CH=CH2,3-Furancarboxylic acid,
4.17,13,-192896,3-Thiophenecarboxylic acid 1-methylethyl ester,,,3-Thiophenecarboxylic acid,CH3CH=CH2,
7.94,12,-182087,4-Pyridinecarboxylic acid 1-methylethyl ester,,,4-Pyridinecarboxylic acid,CH3CH=CH2,
,,,Dimethylethylamine alane,,,Products,,
3.16,13,-180424,CH2=CHCH=CHCH=CH(.),,,C2H2,CH2=CHCH=CH(.),
8.3,1,,CH3C(S)OC(CH3)3,,,Isobutene,CH3COSH,
4.06,3,,CH3C(S)OC(CH3)3,,,Isobutene,CH3COSH,
1.6,-6,-42903,CS2OH,,,CS2,(.)OH,
1.6,-6,-42903,CS2OH,,,CS2,(.)OH,
4.8,5,,CS2OH,,,CS2,(.)OH,
1.6,13,-42903,CS2OH,,,CS2,(.)OH,
1.6,13,-42903,CS2OH,,,CS2,(.)OH,
1.6,13,-42903,CS2OH,,,CS2,(.)OH,
8.9,-13,-6693,CS2OH,,,CS2,(.)OH,
9.61,-9,-34671,CS2OH,,,CS2,(.)OH,
2.36,10,-34838,CS2OH,,,CS2,(.)OH,
4.63,-6,,"Cyclopropane, 1-(2,2-dimethyl-1-methylenepropyl)-2-methyl-, trans-",,,"Cyclopentene, 1-(1,1-dimethylethyl)-4-methyl-(R)-",,
5.0,-1,,"Cyclopropane, 1-(2,2-dimethyl-1-methylenepropyl)-2-methyl-, trans-",,,"Cyclopentene, 1-(1,1-dimethylethyl)-4-methyl-(R)-",,
1.51,-5,,"Cyclopropane, 1-(2,2-dimethyl-1-methylenepropyl)-2-methyl-, trans-",,,Products,,
1.05,-5,,"Cyclopropane, 1-(2,2-dimethyl-1-methylenepropyl)-2-methyl-, trans-",,,CH2=CHCH2CH=C(CH3)C(CH3)3-(E),,
3.75,-5,,"Cyclopropane, 1-(ethenyl-2,2d2)-2-methyl, trans-",,,Products,,
3.54,-5,,"Cyclopropane, 1-(ethenyl-2,2d2)-2-methyl, trans-",,,"CH3CH=CHCH2CH=CD2, (E)-",,
2.1,-7,,"Cyclopropane, 1-(ethenyl-2,2d2)-2-methyl, trans-",,,"Cyclopentene-3,3-d2, 4-methyl-",,
1.31,-5,,"Cyclopropane, 1-(2,2-dimethyl-1-methylene-d2-propyl)-2-(methyl-d3)-, trans-",,,Products,,
9.18,-6,,"Cyclopropane, 1-(2,2-dimethyl-1-methylene-d2-propyl)-2-(methyl-d3)-, trans-",,,CD2=CHCH2CH=C(CD3)C(CH3)3,,
3.88,-6,,"Cyclopropane, 1-(2,2-dimethyl-1-methylene-d2-propyl)-2-(methyl-d3)-, trans-",,,"Cyclopentene-5,5-d2, 1-(1,1-dimethylethyl)-4-(methyl-d3)-",,
1.36,-5,,"Cyclopropane, 1-(2,2-dimethyl-1-methylenepropyl)-2-methyl-d3)-, trans-",,,Products,,
9.35,-6,,"Cyclopropane, 1-(2,2-dimethyl-1-methylenepropyl)-2-methyl-d3)-, trans-",,,CD2=CHCH2CH=C(CH2D)C(CH3)3,,
4.28,-6,,"Cyclopropane, 1-(2,2-dimethyl-1-methylenepropyl)-2-methyl-d3)-, trans-",,,"Cyclopentene, 1-(1,1-dimethylethyl))-4-(methyl-d3)-(R)-",,
1.0,16,-168784,CH3C(NO2)2NF2,,,Products,,
4.8,15,-86471,n-C8H17OONO2,,,NO2,n-C8H17O2,
4.8,15,-86471,n-C8H17OONO2,,,NO2,n-C8H17O2,
7.5,15,-86471,n-C6H13OONO2,,,NO2,1-C6H13OO(.),
7.5,15,-86471,n-C6H13OONO2,,,NO2,1-C6H13OO(.),
8.3,15,-86471,n-C4H9OONO2,,,NO2,CH3CH2CH2CH2OO(.),
8.3,15,-86471,n-C4H9OONO2,,,NO2,CH3CH2CH2CH2OO(.),
4.57,13,-202873,n-C3H7SiH2SiH3,,,Other Products,CH3CH2CH2SiH,
1.82,15,-212850,n-C3H7SiH2SiH3,,,Other Products,n-C3H7SiH3,
1.55,15,-211188,n-C3H7SiH2SiH3,,,Products,,
2.0,11,-172941,"Silacyclopent-3-ene, 1,3,4-trimethyl-1-(1-methyl-2-propenyl)-",,,"Silacyclopent-3-ene, 1-(2-butenyl)-1,3,4-trimethyl-, (Z)-",,
3.98,11,-176267,"Silacyclopent-3-ene, 1,3,4-trimethyl-1-(1-methyl-2-propenyl)-",,,"Silacyclopent-3-ene, 1-(2-butenyl)-1,3,4-trimethyl-, (E)-",,
7.31,-12,,"1,4-Dioxan-2-yldioxy",,,Products,,
3.01,-13,5820,CH2FO2,,,Other Products,O2,
3.3,-13,5820,CH2FO2,,,Products,,
3.8,-13,5820,CH2FO2,,,Products,,
4.02,-12,,CH2FO2,,,Products,,
3.3,-13,5820,CH2FO2,,,Products,,
3.3,-11,,CH2BrOO,,,Products,,
3.01,-11,,CH2BrOO,,,Products,,
3.25,-11,,CH2BrOO,,,Products,,
4.0,-12,,CH2BrOO,,,Products,,
3.3,-11,,CH2BrOO,,,CH2BrO,CH2BrO,O2
1.05,-12,,CH2BrOO,,,CH2BrO,CH2BrO,O2
3.3,-11,,CH2BrOO,,,CH2BrOOCH2Br,O2,
9.0,-11,,ICH2OO((.)),,,CH2IO,CH2IO,O2
1.9,-1,-209525,"1H-Pyrazole, 1-(2-bromoethyl)-",,,Pyrazole,CH2=CHBr,
8.3,11,-70291,3-Cyclopenten-1-ylmethyl,,,"2,5-Hexadienyl",,
1.4,13,-126357,3-Cyclopenten-1-ylmethyl,,,5-Methyl-2-cyclopenten-2-yl,,
1.34,-4,,"Cyclopropane-1,2-d2, 1R-trans-",,,"Cyclopropane-1,2,d2, cis-",,
5.4,-2,,"Cyclopropane-1,2-d2, 1R-trans-",,,"Cyclopropane-1,2,d2, cis-",,
9.73,-14,7059,CH2ClCH2O2,,,O2,CH2ClCH2O,CH2ClCH2O
6.48,-14,7782,CH2ClCH2O2,,,O2,CH2ClCH2O,CH2ClCH2O
5.99,-12,,CH2ClCH2O2,,,O2,CH2ClCH2O,CH2ClCH2O
6.7,-2,,CH2ClCH2O2,,,O2,CH2ClCH2O,CH2ClCH2O
6.9,-1,,CH2ClCH2O2,,,O2,CH2ClCH2O,CH2ClCH2O
7.0,-1,,CH2ClCH2O2,,,O2,CH2ClCH2O,CH2ClCH2O
1.6,-18,31961,CH2ClCH2O2,,,CH2ClCH2OH,CH2ClCHO,O2
2.44,-16,21185,CH2ClCH2O2,,,CH2ClCH2OH,CH2ClCHO,O2
3.1,-1,,CH2ClCH2O2,,,CH2ClCH2OH,CH2ClCHO,O2
1.6,-13,8481,CH2ClCH2O2,,,Products,,
1.6,-13,8481,CH2ClCH2O2,,,Products,,
2.09,-12,,CH2ClCH2O2,,,Products,,
1.1,-13,8481,CH2ClCH2O2,,,Products,,
5.4,-15,15415,CH2ClCH2O2,,,Products,,
8.32,-15,14525,CH2ClCH2O2,,,Products,,
1.1,-13,8481,CH2ClCH2O2,,,Products,,
,,,HCCCCCH,,,H(.),"2,4-Pentadiynylidyne",
,,,HCCCCCH,,,H(.),"2,4-Pentadiynylidyne",
,,,CH2FCHClCF3,,,Products,,
2.57,12,-168784,"Benzene, [1-(1-methylethoxy)ethenyl]-3-nitro-",,,"Ethanone, 1-(4-nitrophenyl)-",CH3CH=CH2,
1.3,-4,,"Silacyclobutane, 1,1,2,3-tetramethyl-, cis-",,,"trans-1,1,2,3-tetramethylsilacyclobutane",,
6.92,-6,,"Silacyclobutane, 1,1,2,3-tetramethyl-, cis-",,,(E)-2-C4H8,(CH3)2Si=CH2,
3.0,-5,,"Silacyclobutane, 1,1,2,3-tetramethyl-, cis-",,,(Z)-2-C4H8,(CH3)2Si=CH2,
7.05,-4,,"Silacyclobutane, 1,1,2,3-tetramethyl-, cis-",,,Products,,
2.4,-5,,"trans-1,1,2,3-tetramethylsilacyclobutane",,,"Silacyclobutane, 1,1,2,3-tetramethyl-, cis-",,
1.45,-5,,"trans-1,1,2,3-tetramethylsilacyclobutane",,,(E)-2-C4H8,(CH3)2Si=CH2,
2.5,-6,,"trans-1,1,2,3-tetramethylsilacyclobutane",,,(Z)-2-C4H8,(CH3)2Si=CH2,
2.01,-4,,"trans-1,1,2,3-tetramethylsilacyclobutane",,,Products,,
7.64,16,-215832,CH2CCHCH2CHCH2,,,Fulvene,H(.),H(.)
1.0,11,-147998,CH≡CCH2CH2C(CH3)=C(CH3)2,,,CH2=C=CHC(CH3)2C(CH3)=CH2,,
9.55,10,-146335,CH2=C=CHC(CH3)2C(CH3)=CH2,,,CH≡CCH2CH2C(CH3)=C(CH3)2,,
5.25,-7,-48141,CH2CH(NF2)Br,,,CH2=CHBr,NF2,
2.09,12,-51051,CH2CH(NF2)Br,,,CH2=CHBr,NF2,
4.78,22,-47725,CH2CH(NF2)Br,,,CH2=CHBr,NF2,
4.78,-8,-40575,CH2CH(NF2)Cl,,,CH2=CHCl,NF2,
3.72,10,-39743,CH2CH(NF2)Cl,,,CH2=CHCl,NF2,
1.9,21,-38496,CH2CH(NF2)Cl,,,CH2=CHCl,NF2,
1.45,-6,-48557,"Cyclopentyl, 2-(difluoroamino)-",,,Cyclopentene,NF2,
7.24,10,-41822,"Cyclopentyl, 2-(difluoroamino)-",,,Cyclopentene,NF2,
6.02,21,-40990,"Cyclopentyl, 2-(difluoroamino)-",,,Cyclopentene,NF2,
8.72,-7,-36833,(CH3)2C(NF2)C(CH3)2,,,(CH3)2C=C(CH3)2,NF2,
8.91,10,-30514,(CH3)2C(NF2)C(CH3)2,,,(CH3)2C=C(CH3)2,NF2,
3.01,22,-34754,(CH3)2C(NF2)C(CH3)2,,,(CH3)2C=C(CH3)2,NF2,
4.9,-7,-38912,CH3CH(NF2)C(CH3)2,,,(CH3)2C=CHCH3,NF2,
5.25,11,-40575,CH3CH(NF2)C(CH3)2,,,(CH3)2C=CHCH3,NF2,
4.78,23,-40575,CH3CH(NF2)C(CH3)2,,,(CH3)2C=CHCH3,NF2,
1.07,-8,-31346,(CH3)2CCH2NF2,,,Isobutene,NF2,
3.39,9,-30098,(CH3)2CCH2NF2,,,Isobutene,NF2,
1.48,-4,-60280,CH3CH(NF2)CHCH3,,,(E)-2-C4H8,NF2,
