RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
112,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2004JOH/CAS519-523:4,1,7.6,24,-29350,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,264,1
113,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:3,1,2.4,12,-38911,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"298
 
K",1
114,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:17,1,3.3,5,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"298
 
K",1
115,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:18,1,3.1,3,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"220
 
K",1
116,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:39,1,3.1,3,,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"220
 
K",1
119,101,http://kinetics.nist.gov/kinetics/Detail;jsessionid=565FB0F1CECB79379809429F9D657143?id=2000MER/RAY3765-3772:21,1,4.67,1,,CH3CH(O.)CH2CH2CH3,,,CH3CH2CH2CHO,(.)CH3,,"298
 
K",1
120,101,http://kinetics.nist.gov/kinetics/Detail;jsessionid=565FB0F1CECB79379809429F9D657143?id=2000MER/RAY3765-3772:22,1,4.67,1,,CH3CH(O.)CH2CH2CH3,,,CH3CH2CH2CHO,(.)CH3,,"298
 
K",1
121,102,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A50DC16CAEDEF7CF8CA3510F32D0E74D?id=2000MER/RAY3765-3772:24,1,2.2,4,,CH3CH(O.)CH2CH2CH3,,,CH3CHO,1-C3H7,,"298
 
K",1
122,102,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A50DC16CAEDEF7CF8CA3510F32D0E74D?id=2000MER/RAY3765-3772:23,1,2.6,4,,CH3CH(O.)CH2CH2CH3,,,CH3CHO,1-C3H7,,"298
 
K",1
124,104,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3F9EA40643F35B07E42523B21058F172?id=2004JOH/CAS519-523:1,1,9.2,10,-30500,CH3CH(O.)CH2CH2CH3,,,(.)CH2CH2CH2CH(OH)CH3,,,264,1
128,108,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F3A525F390A9BC088966C6D3FFA103B8?id=1996MAR/SZE4514-4520:3,2,3.7,-12,2245,CF3C(O)OO(.),CF3C(O)OO(.),,O2,CF3C(O)O,CF3C(O)O,210,2
129,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1994RAT/ROW1819-1829:2,1,7.4,11,-39244,CF3CFHO,,,HFCO,(.)CF3,,235,1
130,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2003WU/CAR10733-10742:3,2,1.01,-7,-33906,CF3CFHO,,,HFCO,(.)CF3,,259,2
131,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:10,2,1.1,-6,-46370,CF3CFHO,,,HFCO,(.)CF3,,200,2
132,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1996WAL/HUR18116-18122:3,2,1.02,1,,CF3CFHO,,,HFCO,(.)CF3,,"295
 
K",2
133,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2003WU/CAR10733-10742:4,1,5.9,13,-43734,CF3CFHO,,,HFCO,(.)CF3,,259,1
134,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:5,1,3.82,13,-53329,CF3CFHO,,,HFCO,(.)CF3,,200,1
135,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:6,1,9.58,12,-51217,CF3CFHO,,,HFCO,(.)CF3,,200,1
136,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:7,1,3.99,12,-50045,CF3CFHO,,,HFCO,(.)CF3,,200,1
137,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:8,1,3.52,12,-49879,CF3CFHO,,,HFCO,(.)CF3,,200,1
138,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=2001SOM/ZEL2352-2364:9,1,7.61,11,-48149,CF3CFHO,,,HFCO,(.)CF3,,200,1
139,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1997MOG/SEH209-217:3,1,3.3,5,,CF3CFHO,,,HFCO,(.)CF3,,"296
 
K",1
140,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1996BED/BRE528-539:6,1,1.8,4,,CF3CFHO,,,HFCO,(.)CF3,,"295
 
K",1
141,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1992MAR/SZE10862-10868:7,1,3.7,7,-18292,CF3CFHO,,,HFCO,(.)CF3,,211,1
142,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1998SCH/WAL1850-1856:1,1,4.8,13,-47698,CF3CFHO,,,HFCO,(.)CF3,,"298
 
K",1
143,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1998HAS/MOO541-554:1,1,8.59,4,,CF3CFHO,,,HFCO,(.)CF3,,"298
 
K",1
144,109,http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1997SEH/MOG673-682:10,1,1,3,,CF3CFHO,,,HFCO,(.)CF3,,"295
 
K",1
145,110,http://kinetics.nist.gov/kinetics/Detail;jsessionid=49B48032FF37A604E3189A41D44F93D5?id=2001KOR/BOL1516-1523:1,2,4.98,-12,-48070,HN(NO2)2-NH3,,,NH3,HN(NO2)2,,433,2
151,114,http://kinetics.nist.gov/kinetics/Detail;jsessionid=182E64FD7514A36A771B26650ACB0FD9?id=1992HOP/WAC711-721:5,1,1.95,10,-147998,CH2=C=CHCH(CH3)CH=CH2,,,CH≡CCH2CH2CH=CHCH3-(Z)-,,,493,1
152,115,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BEBE1307C21AFA85328B8522DB57DC05?id=1992HOP/WAC711-721:4,1,2.51,10,-140515,CH2=C=CHCH(CH3)CH=CH2,,,"CH≡CCH2CH2CH=CHCH3(E),-",,,493,1
153,116,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0954413FEEEBE3A89717DB4EEE0141CF?id=1992HOP/WAC711-721:3,1,3.16,10,-149660,CH2=C=CHCH(CH3)CH=CH2,,,[None],['CC1=CCC(C1)=C'],,493,1
154,117,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A274B1B27949BC30C729230B3CF012FA?id=1991MAR/ASC579-585:4,1,6.31,10,-144672,[None],,,['C=C(C)C'],['FC1=CC=C(C=C1)SS'],,673,1
155,118,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7AAFFDE9EEACD75DD20966A4DC4B2C57?id=1991MAR/ASC579-585:3,1,2.88,-13,-184581,[None],,,['C=C(C)C'],['[N+](=O)([O-])C1=CC=C(C=C1)SS'],,693,1
