ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
315,7.59,14,-70399,https://cactus.nci.nih.gov/chemical/structure/ClClO/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,[None],
342,3.98,13,-206199,https://cactus.nci.nih.gov/chemical/structure/CH3%28CH2%294CHClCHCl%28CH2%294CH3/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
390,5.53,17,-64520,https://cactus.nci.nih.gov/chemical/structure/H3SiO%28%28.%29%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/H2Si%28%28.%29%29OH/smiles,,
508,2.18,5,-259408,https://cactus.nci.nih.gov/chemical/structure/CF2BrCF2CH3/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CF3CFBrCH3/smiles,,
515,1.87,14,-257358,https://cactus.nci.nih.gov/chemical/structure/SiH2Cl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH/smiles,
550,3.16,13,-169615,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSi%28CH3%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSiH%3DCH2/smiles,,
551,3.98,12,-164627,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSi%28CH3%29/smiles,,,[None],,
552,1,14,-198716,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2Si%28H%29%3A/smiles,,
553,1,13,-114740,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%292SiHCH2Si%28CH3%29%3A/smiles,,
554,1,14,-217839,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSi%28CH3%29/smiles,,
562,3.51,13,-357690,https://cactus.nci.nih.gov/chemical/structure/SiHCl2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,[None],
645,2.44,21,-237794,https://cactus.nci.nih.gov/chemical/structure/HSi%28O%29OH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%3ASi%28OH%292/smiles,,
723,1.32,13,-35000,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28%26middot%29CH2%28CH2%293CHO/smiles,,
767,1.21,16,-312375,https://cactus.nci.nih.gov/chemical/structure/CCl3OCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CCl3/smiles,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,
792,4.09,7,-9728,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH2%3DSiH2/smiles,,
793,5.5,12,-23281,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH2%3DSiH2/smiles,,
794,5.17,-5,-43263,https://cactus.nci.nih.gov/chemical/structure/H3SiSiH/smiles,,,https://cactus.nci.nih.gov/chemical/structure/SiH2%3DSiH2/smiles,,
